"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Iraq","2004","3","","3",""
"Afghanistan","Islamic Rep. of Iran","2004","26","","26",""
"Afghanistan","Pakistan","2004","1","","1",""
"Albania","Iraq","2004","9","9","9","9"
"Albania","Islamic Rep. of Iran","2004","1","1","1","1"
"Albania","Rep. of Moldova","2004","1","1","1","1"
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2004","33","33","33","33"
"Albania","Turkey","2004","7","7","7","7"
"Algeria","Burundi","2004","1","","1",""
"Algeria","Cameroon","2004","5","1","5","1"
"Algeria","Congo","2004","4","","4",""
"Algeria","Côte d'Ivoire","2004","3","","3",""
"Algeria","Dem. Rep. of the Congo","2004","5","4","5","4"
"Algeria","Iraq","2004","6","6","6","6"
"Algeria","Liberia","2004","6","2","6","2"
"Algeria","Libya","2004","6","6","6","6"
"Algeria","Somalia","2004","4","4","4","4"
"Algeria","State of Palestine","2004","4005","","4005",""
"Algeria","Syrian Arab Rep.","2004","3","3","3","3"
"Algeria","Western Sahara","2004","165000","155430","165000","155430"
"Angola","Algeria","2004","1","","1",""
"Angola","Burundi","2004","12","","12",""
"Angola","Central African Rep.","2004","6","","6",""
"Angola","Chad","2004","62","","62",""
"Angola","Congo","2004","45","4","45","4"
"Angola","Côte d'Ivoire","2004","20","1","20","1"
"Angola","Dem. Rep. of the Congo","2004","13510","10751","13510","10751"
"Angola","Guinea","2004","2","","2",""
"Angola","Guinea-Bissau","2004","1","","1",""
"Angola","Iraq","2004","1","","1",""
"Angola","Liberia","2004","41","","41",""
"Angola","Mauritania","2004","5","","5",""
"Angola","Rwanda","2004","148","11","148","11"
"Angola","Sierra Leone","2004","68","","68",""
"Angola","Somalia","2004","6","","6",""
"Angola","Sudan","2004","35","","35",""
"Angola","Uganda","2004","1","","1",""
"Angola","United Rep. of Tanzania","2004","4","","4",""
"Angola","Zambia","2004","2","","2",""
"Argentina","Albania","2004","13","8","13","8"
"Argentina","Algeria","2004","57","3","57","3"
"Argentina","Angola","2004","13","7","13","7"
"Argentina","Armenia","2004","63","29","63","29"
"Argentina","Bangladesh","2004","8","3","8","3"
"Argentina","Belarus","2004","1","","1",""
"Argentina","Bolivia (Plurinational State of)","2004","1","","1",""
"Argentina","Bosnia and Herzegovina","2004","8","","8",""
"Argentina","Bulgaria","2004","1","","1",""
"Argentina","Burundi","2004","2","2","2","2"
"Argentina","Cambodia","2004","51","28","51","28"
"Argentina","Chad","2004","1","","1",""
"Argentina","Chile","2004","13","2","13","2"
"Argentina","Colombia","2004","34","15","34","15"
"Argentina","Cuba","2004","232","43","232","43"
"Argentina","Dem. Rep. of the Congo","2004","11","3","11","3"
"Argentina","Estonia","2004","2","","2",""
"Argentina","Ethiopia","2004","4","2","4","2"
"Argentina","Georgia","2004","5","5","5","5"
"Argentina","Ghana","2004","5","5","5","5"
"Argentina","Guinea","2004","16","12","16","12"
"Argentina","Haiti","2004","14","13","14","13"
"Argentina","India","2004","25","4","25","4"
"Argentina","Iraq","2004","24","11","24","11"
"Argentina","Islamic Rep. of Iran","2004","28","1","28","1"
"Argentina","Kazakhstan","2004","88","2","88","2"
"Argentina","Kyrgyzstan","2004","3","3","3","3"
"Argentina","Lao People's Dem. Rep.","2004","1329","19","1329","19"
"Argentina","Latvia","2004","2","2","2","2"
"Argentina","Lebanon","2004","4","","4",""
"Argentina","Liberia","2004","63","18","63","18"
"Argentina","Lithuania","2004","2","1","2","1"
"Argentina","Mali","2004","22","11","22","11"
"Argentina","Mauritania","2004","1","1","1","1"
"Argentina","Nicaragua","2004","6","2","6","2"
"Argentina","Niger","2004","1","","1",""
"Argentina","Nigeria","2004","31","7","31","7"
"Argentina","Pakistan","2004","42","16","42","16"
"Argentina","Paraguay","2004","1","","1",""
"Argentina","Peru","2004","418","340","418","340"
"Argentina","Romania","2004","1","","1",""
"Argentina","Russian Federation","2004","34","13","34","13"
"Argentina","Senegal","2004","65","35","65","35"
"Argentina","Serbia (and Kosovo: S/RES/1244 (1999))","2004","9","6","9","6"
"Argentina","Sierra Leone","2004","71","48","71","48"
"Argentina","South Africa","2004","2","2","2","2"
"Argentina","Sri Lanka","2004","37","","37",""
"Argentina","Sudan","2004","1","","1",""
"Argentina","Turkey","2004","5","3","5","3"
"Argentina","Ukraine","2004","10","5","10","5"
"Argentina","Uruguay","2004","1","","1",""
"Argentina","Viet Nam","2004","33","4","33","4"
"Argentina","Zimbabwe","2004","2","","2",""
"Armenia","Azerbaijan","2004","235101","50000","235101","50000"
"Armenia","Georgia","2004","1","1","1","1"
"Armenia","Iraq","2004","127","127","127","127"
