"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Eritrea","2009","1","1","1","1"
"Afghanistan","Iraq","2009","6","6","6","6"
"Afghanistan","Islamic Rep. of Iran","2009","30","30","30","30"
"Albania","Algeria","2009","0","0","0","0"
"Albania","China","2009","6","6","6","6"
"Albania","Czech Rep.","2009","2","2","2","2"
"Albania","Egypt","2009","1","1","1","1"
"Albania","Iraq","2009","5","5","5","5"
"Albania","Montenegro","2009","1","1","1","1"
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2009","48","48","48","48"
"Albania","State of Palestine","2009","3","3","3","3"
"Albania","Turkey","2009","3","3","3","3"
"Albania","Uzbekistan","2009","1","1","1","1"
"Algeria","Angola","2009","3","3","3","3"
"Algeria","Burundi","2009","1","1","1","1"
"Algeria","Cameroon","2009","6","6","6","6"
"Algeria","Central African Rep.","2009","1","1","1","1"
"Algeria","Chad","2009","1","1","1","1"
"Algeria","Congo","2009","6","6","6","6"
"Algeria","Côte d'Ivoire","2009","17","17","17","17"
"Algeria","Dem. Rep. of the Congo","2009","73","73","73","73"
"Algeria","Ethiopia","2009","1","1","1","1"
"Algeria","Iraq","2009","3","3","3","3"
"Algeria","Liberia","2009","7","7","7","7"
"Algeria","Libya","2009","6","6","6","6"
"Algeria","Somalia","2009","5","5","5","5"
"Algeria","State of Palestine","2009","4006","1","4006","1"
"Algeria","Togo","2009","1","1","1","1"
"Algeria","Western Sahara","2009","90000","90000","90000","90000"
"Angola","Algeria","2009","1","0","1","0"
"Angola","Burundi","2009","11","0","11","0"
"Angola","Central African Rep.","2009","5","0","5","0"
"Angola","Chad","2009","132","8","132","8"
"Angola","Congo","2009","43","0","43","0"
"Angola","Côte d'Ivoire","2009","187","123","187","123"
"Angola","Cuba","2009","2","0","2","0"
"Angola","Dem. Rep. of the Congo","2009","13364","4500","13364","4500"
"Angola","Eritrea","2009","5","0","5","0"
"Angola","Guinea","2009","20","10","20","10"
"Angola","Guinea-Bissau","2009","2","0","2","0"
"Angola","Haiti","2009","1","1","1","1"
"Angola","Iraq","2009","2","0","2","0"
"Angola","Liberia","2009","73","0","73","0"
"Angola","Mauritania","2009","64","40","64","40"
"Angola","Rwanda","2009","422","20","422","20"
"Angola","Sierra Leone","2009","216","40","216","40"
"Angola","Somalia","2009","35","0","35","0"
"Angola","South Africa","2009","2","0","2","0"
"Angola","Sudan","2009","135","77","135","77"
"Angola","Uganda","2009","1","0","1","0"
"Angola","United Rep. of Tanzania","2009","5","0","5","0"
"Angola","Western Sahara","2009","5","5","5","5"
"Angola","Zambia","2009","1","0","1","0"
"Argentina","Albania","2009","25","1","25","1"
"Argentina","Algeria","2009","45","","45","0"
"Argentina","Angola","2009","14","","14","0"
"Argentina","Armenia","2009","111","5","111","5"
"Argentina","Bangladesh","2009","11","","11","0"
"Argentina","Belarus","2009","1","","1","0"
"Argentina","Bolivia (Plurinational State of)","2009","3","","3","0"
"Argentina","Bosnia and Herzegovina","2009","6","1","6","1"
"Argentina","Bulgaria","2009","2","","2","0"
"Argentina","Burundi","2009","6","3","6","3"
"Argentina","Cameroon","2009","5","1","5","1"
"Argentina","Central African Rep.","2009","2","","2","0"
"Argentina","Chad","2009","1","","1","0"
"Argentina","Chile","2009","335","","335","0"
"Argentina","Colombia","2009","381","42","381","42"
"Argentina","Congo","2009","9","2","9","2"
"Argentina","Costa Rica","2009","6","","6","0"
"Argentina","Côte d'Ivoire","2009","22","14","22","14"
"Argentina","Croatia","2009","2","","2","0"
"Argentina","Cuba","2009","340","18","340","18"
"Argentina","Dem. Rep. of the Congo","2009","6","","6","0"
"Argentina","Dominican Rep.","2009","2","","2","0"
"Argentina","Ecuador","2009","12","","12","0"
"Argentina","Eritrea","2009","2","2","2","2"
"Argentina","Ethiopia","2009","5","2","5","2"
"Argentina","Gambia","2009","1","","1","0"
"Argentina","Georgia","2009","5","","5","0"
"Argentina","Ghana","2009","26","14","26","14"
"Argentina","Guatemala","2009","1","","1","0"
"Argentina","Guinea","2009","6","6","6","6"
"Argentina","Guinea-Bissau","2009","18","","18","0"
"Argentina","Haiti","2009","43","27","43","27"
"Argentina","India","2009","37","4","37","4"
"Argentina","Iraq","2009","29","5","29","5"
"Argentina","Islamic Rep. of Iran","2009","22","","22","0"
"Argentina","Italy","2009","1","","1","0"
"Argentina","Kazakhstan","2009","22","","22","0"
"Argentina","Kenya","2009","1","1","1","1"
"Argentina","Kyrgyzstan","2009","3","","3","0"
"Argentina","Lao People's Dem. Rep.","2009","0","","0","0"
"Argentina","Liberia","2009","67","26","67","26"
"Argentina","Mali","2009","14","4","14","4"
"Argentina","Mauritania","2009","1","","1","0"
"Argentina","Mexico","2009","1","","1","0"
"Argentina","Morocco","2009","2","","2","0"
"Argentina","Nicaragua","2009","2","","2","0"
"Argentina","Nigeria","2009","50","5","50","5"
"Argentina","Pakistan","2009","41","3","41","3"
"Argentina","Paraguay","2009","3","","3","0"
"Argentina","Peru","2009","588","68","588","68"
"Argentina","Romania","2009","54","","54","0"
"Argentina","Russian Federation","2009","58","16","58","16"
"Argentina","Rwanda","2009","1","","1","0"
"Argentina","Senegal","2009","59","6","59","6"
"Argentina","Serbia (and Kosovo: S/RES/1244 (1999))","2009","18","","18","0"
"Argentina","Sierra Leone","2009","63","20","63","20"
"Argentina","Somalia","2009","5","","5","0"
"Argentina","South Africa","2009","3","","3","0"
"Argentina","Sri Lanka","2009","37","2","37","2"
"Argentina","Stateless","2009","1","","1","0"
"Argentina","Sudan","2009","4","1","4","1"
"Argentina","Togo","2009","1","1","1","1"
"Argentina","Tunisia","2009","2","2","2","2"
"Argentina","Turkey","2009","10","3","10","3"
"Argentina","Turkmenistan","2009","2","","2","0"
"Argentina","Ukraine","2009","19","7","19","7"
"Argentina","United States","2009","3","","3","0"
"Argentina","Various","2009","549","16","549","16"
"Argentina","Venezuela (Bolivarian Republic of)","2009","1","","1","0"
"Argentina","Viet Nam","2009","0","","0","0"
"Argentina","Zimbabwe","2009","2","","2","0"
"Armenia","Azerbaijan","2009","2681","2375","2681","2375"
"Armenia","Ethiopia","2009","1","0","1","0"
"Armenia","Georgia","2009","8","8","8","8"
"Armenia","Iraq","2009","870","870","870","870"
"Armenia","Islamic Rep. of Iran","2009","22","22","22","22"
"Armenia","Israel","2009","5","0","5","0"
"Armenia","Kazakhstan","2009","1","0","1","0"
"Armenia","Lebanon","2009","14","0","14","0"
"Armenia","Russian Federation","2009","1","1","1","1"
"Armenia","Turkey","2009","4","4","4","4"
"Australia","Afghanistan","2009","5664","","5664","0"
"Australia","Albania","2009","49","","49","0"
"Australia","Algeria","2009","32","","32","0"
"Australia","Angola","2009","5","","5","0"
"Australia","Argentina","2009","1","","1","0"
"Australia","Armenia","2009","7","","7","0"
"Australia","Australia","2009","2","","2","0"
"Australia","Azerbaijan","2009","4","","4","0"
"Australia","Bahrain","2009","22","","22","0"
"Australia","Bangladesh","2009","235","","235","0"
"Australia","Belarus","2009","15","","15","0"
"Australia","Belgium","2009","0","","0","0"
"Australia","Benin","2009","1","","1","0"
"Australia","Bhutan","2009","3","","3","0"
"Australia","Bosnia and Herzegovina","2009","10","","10","0"
"Australia","Brazil","2009","9","","9","0"
"Australia","Bulgaria","2009","5","","5","0"
"Australia","Burundi","2009","30","","30","0"
"Australia","Cambodia","2009","16","","16","0"
"Australia","Cameroon","2009","46","","46","0"
"Australia","Canada","2009","3","","3","0"
"Australia","Chad","2009","2","","2","0"
"Australia","Chile","2009","2","","2","0"
"Australia","China","2009","1862","","1862","0"
"Australia","Colombia","2009","191","","191","0"
"Australia","Congo","2009","22","","22","0"
"Australia","Côte d'Ivoire","2009","7","","7","0"
"Australia","Croatia","2009","4","","4","0"
"Australia","Cuba","2009","6","","6","0"
"Australia","Czech Rep.","2009","1","","1","0"
"Australia","Dem. People's Rep. of Korea","2009","15","","15","0"
"Australia","Dem. Rep. of the Congo","2009","25","","25","0"
"Australia","Denmark","2009","2","","2","0"
"Australia","Ecuador","2009","4","","4","0"
"Australia","Egypt","2009","293","","293","0"
"Australia","El Salvador","2009","6","","6","0"
"Australia","Eritrea","2009","58","","58","0"
